X,u (1) @ t=0.01,u (1) @ t=0.02,u (1) @ t=0.03,u (1) @ t=0.04,u (1) @ t=0.05,u (1) @ t=0.06,u (1) @ t=0.07,u (1) @ t=0.08,u (1) @ t=0.09,u (1) @ t=0.1,u (1) @ t=0.11,u (1) @ t=0.12,u (1) @ t=0.13,u (1) @ t=0.14,u (1) @ t=0.15,u (1) @ t=0.16,u (1) @ t=0.17,u (1) @ t=0.18,u (1) @ t=0.19,u (1) @ t=0.2,u (1) @ t=0.21,u (1) @ t=0.22,u (1) @ t=0.23,u (1) @ t=0.24,u (1) @ t=0.25,u (1) @ t=0.26,u (1) @ t=0.27,u (1) @ t=0.28,u (1) @ t=0.29,u (1) @ t=0.3,u (1) @ t=0.31,u (1) @ t=0.32,u (1) @ t=0.33,u (1) @ t=0.34,u (1) @ t=0.35,u (1) @ t=0.36,u (1) @ t=0.37,u (1) @ t=0.38,u (1) @ t=0.39,u (1) @ t=0.4,u (1) @ t=0.41,u (1) @ t=0.42,u (1) @ t=0.43,u (1) @ t=0.44,u (1) @ t=0.45,u (1) @ t=0.46,u (1) @ t=0.47,u (1) @ t=0.48,u (1) @ t=0.49,u (1) @ t=0.5,u (1) @ t=0.51,u (1) @ t=0.52,u (1) @ t=0.53,u (1) @ t=0.54,u (1) @ t=0.55,u (1) @ t=0.56,u (1) @ t=0.57,u (1) @ t=0.58,u (1) @ t=0.59,u (1) @ t=0.6,u (1) @ t=0.61,u (1) @ t=0.62,u (1) @ t=0.63,u (1) @ t=0.64,u (1) @ t=0.65,u (1) @ t=0.66,u (1) @ t=0.67,u (1) @ t=0.68,u (1) @ t=0.69,u (1) @ t=0.7,u (1) @ t=0.71,u (1) @ t=0.72,u (1) @ t=0.73,u (1) @ t=0.74,u (1) @ t=0.75,u (1) @ t=0.76,u (1) @ t=0.77,u (1) @ t=0.78,u (1) @ t=0.79,u (1) @ t=0.8,u (1) @ t=0.81,u (1) @ t=0.82,u (1) @ t=0.83,u (1) @ t=0.84,u (1) @ t=0.85,u (1) @ t=0.86,u (1) @ t=0.87,u (1) @ t=0.88,u (1) @ t=0.89,u (1) @ t=0.9,u (1) @ t=0.91,u (1) @ t=0.92,u (1) @ t=0.93,u (1) @ t=0.94,u (1) @ t=0.95,u (1) @ t=0.96,u (1) @ t=0.97,u (1) @ t=0.98,u (1) @ t=0.99,u (1) @ t=1
0,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239
0.07,0.231368627,0.233728992,0.234741763,0.235332263,0.235733464,0.236025941,0.236253012,0.236435165,0.236585581,0.23671244,0.236821224,0.23691592,0.23699944,0.237073739,0.237140322,0.237200459,0.237255166,0.237305199,0.237351175,0.237393614,0.237432958,0.237469563,0.237503717,0.237535674,0.237565669,0.237593917,0.237620591,0.237645817,0.237669706,0.237692373,0.237713922,0.237734442,0.237754012,0.237772705,0.237790588,0.237807717,0.237824138,0.237839898,0.237855035,0.237869591,0.237883604,0.237897111,0.237910148,0.23792274,0.237934917,0.237946697,0.237958098,0.237969136,0.237979828,0.237990192,0.238000243,0.238009999,0.238019475,0.238028686,0.238037643,0.23804636,0.238054845,0.238063109,0.238071161,0.238079009,0.238086662,0.238094127,0.238101413,0.238108525,0.238115471,0.238122257,0.238128891,0.238135377,0.238141721,0.238147928,0.238154003,0.238159951,0.238165775,0.238171479,0.238177068,0.238182545,0.238187913,0.238193176,0.238198338,0.238203401,0.23820837,0.238213247,0.238218035,0.238222737,0.238227357,0.238231897,0.238236358,0.238240745,0.238245057,0.238249298,0.238253469,0.238257571,0.238261607,0.238265577,0.238269484,0.23827333,0.238277115,0.238280841,0.23828451,0.238288124
0.14,0.222375601,0.227835757,0.230084693,0.231371582,0.23223614,0.232861527,0.233344245,0.233729724,0.234046876,0.234313546,0.234541632,0.234739743,0.234914135,0.235069006,0.235207582,0.235332574,0.235446137,0.235549883,0.235645116,0.23573294,0.235814288,0.235889911,0.235960417,0.236026342,0.236088176,0.236146375,0.236201299,0.236253212,0.236302348,0.236348948,0.236393229,0.236435376,0.236475554,0.236513917,0.236550602,0.236585729,0.23661939,0.236651687,0.236682696,0.236712506,0.236741195,0.236768841,0.236795516,0.236821275,0.236846178,0.236870262,0.236893567,0.236916124,0.236937969,0.236959137,0.236979664,0.236999584,0.237018928,0.237037727,0.237056005,0.237073788,0.237091097,0.237107951,0.23712437,0.23714037,0.237155971,0.237171186,0.237186032,0.237200523,0.237214673,0.237228497,0.237242006,0.237255214,0.237268131,0.237280767,0.237293134,0.23730524,0.237317092,0.237328698,0.237340068,0.23735121,0.237362128,0.237372833,0.23738333,0.237393626,0.237403728,0.237413643,0.237423376,0.237432934,0.237442324,0.237451549,0.237460614,0.237469527,0.237478289,0.237486903,0.237495375,0.237503707,0.237511903,0.237519967,0.2375279,0.237535707,0.237543392,0.237550956,0.237558404,0.237565739
0.21,0.211511517,0.221175296,0.224956855,0.227073434,0.228477256,0.229483918,0.230255921,0.230869348,0.231372029,0.231793302,0.232152619,0.232463976,0.232737488,0.232979935,0.233196519,0.233391592,0.233568594,0.233730102,0.233878195,0.234014632,0.23414089,0.234258161,0.234367411,0.234469486,0.234565162,0.234655155,0.23474003,0.234820207,0.234896054,0.234967947,0.235036231,0.235101193,0.235163093,0.235222171,0.235278644,0.235332696,0.235384474,0.235434136,0.235481799,0.235527607,0.235571678,0.235614134,0.235655086,0.235694622,0.235732833,0.235769779,0.23580552,0.235840104,0.23587359,0.235906031,0.235937481,0.235967996,0.235997622,0.236026407,0.236054389,0.236081609,0.236108098,0.236133885,0.236159002,0.236183475,0.236207332,0.236230597,0.236253292,0.236275443,0.236297068,0.236318192,0.236338832,0.236359009,0.236378739,0.236398038,0.236416922,0.236435405,0.236453499,0.236471215,0.236488569,0.236505572,0.236522232,0.236538564,0.236554579,0.236570283,0.236585691,0.236600811,0.236615653,0.236630227,0.236644543,0.236658606,0.236672424,0.236686009,0.236699361,0.236712488,0.236725397,0.236738092,0.236750579,0.236762862,0.236774946,0.236786837,0.23679854,0.236810059,0.2368214,0.236832568
0.28,0.197926646,0.213546783,0.21926545,0.222382566,0.22441959,0.225865996,0.226967227,0.227837447,0.228547436,0.229140304,0.22964445,0.230080193,0.230462115,0.230799987,0.231101294,0.231372257,0.231617776,0.231841517,0.232046438,0.232235029,0.23240938,0.232571176,0.232721778,0.232862377,0.232994069,0.233117855,0.233234526,0.23334467,0.233448806,0.233547461,0.233641115,0.23373017,0.233814987,0.233895903,0.233973218,0.234047188,0.23411802,0.23418593,0.234251086,0.234313684,0.234373888,0.234431869,0.23448778,0.234541741,0.234593879,0.234644277,0.234693017,0.23474017,0.234785812,0.23483002,0.234872869,0.234914434,0.234954779,0.234993971,0.235032062,0.235069108,0.235105152,0.235140236,0.2351744,0.235207684,0.235240123,0.235271751,0.235302602,0.235332705,0.235362092,0.235390792,0.235418831,0.235446236,0.23547303,0.235499236,0.235524875,0.235549966,0.235574525,0.235598569,0.235622118,0.235645188,0.23566779,0.235689944,0.235711666,0.235732964,0.235753857,0.235774359,0.235794481,0.235814237,0.235833642,0.235852702,0.235871429,0.235889837,0.235907929,0.235925713,0.2359432,0.235960397,0.23597731,0.235993944,0.236010309,0.23602641,0.236042256,0.236057852,0.236073205,0.236088322
0.35,0.180054267,0.204661464,0.212888045,0.217229328,0.220017569,0.221975249,0.223453596,0.22461468,0.225557398,0.226341498,0.227006062,0.227578873,0.22807972,0.228521852,0.228915403,0.229268739,0.229588416,0.229879345,0.230145472,0.230390119,0.23061606,0.23082553,0.231020333,0.231202049,0.231372123,0.231531876,0.231682343,0.231824298,0.23195843,0.232085433,0.232205932,0.232320454,0.232429475,0.232533434,0.232632722,0.232727676,0.232818564,0.23290567,0.232989211,0.233069445,0.233146585,0.233220853,0.233292447,0.233361524,0.233428247,0.233492724,0.233555065,0.233615358,0.233673705,0.233730205,0.233784954,0.233838051,0.233889578,0.233939622,0.23398825,0.234035534,0.23408153,0.234126291,0.234169873,0.234212321,0.234253687,0.234294011,0.234333336,0.234371703,0.234409151,0.234445717,0.234481436,0.234516342,0.234550466,0.234583835,0.234616477,0.234648418,0.234679677,0.234710277,0.234740242,0.234769595,0.234798348,0.234826528,0.234854156,0.234881241,0.234907808,0.234933875,0.234959456,0.234984569,0.235009233,0.235033457,0.235057255,0.235080644,0.235103631,0.235126223,0.235148437,0.23517028,0.235191759,0.235212884,0.235233663,0.235254107,0.235274224,0.235294023,0.235313512,0.2353327
0.42,0.154545554,0.194084262,0.205658772,0.211524305,0.215214621,0.217772267,0.219685764,0.22117832,0.222383668,0.22338185,0.224224811,0.22494921,0.225580939,0.22613732,0.226631573,0.227074542,0.227474673,0.227838295,0.228170481,0.228475492,0.228756872,0.229017477,0.229259605,0.229485269,0.229696308,0.229894394,0.230080831,0.230256601,0.230422578,0.230579643,0.23072858,0.230870054,0.231004664,0.231132963,0.231255442,0.231372523,0.231484543,0.231591857,0.231694741,0.231793515,0.231888448,0.231979815,0.232067866,0.232152794,0.232234804,0.232314029,0.232390606,0.232464648,0.232536281,0.232605629,0.232672812,0.232737952,0.232801151,0.232862519,0.232922136,0.232980093,0.23303646,0.233091303,0.23314469,0.233196679,0.233247332,0.233296701,0.233344839,0.233391797,0.23343762,0.233482359,0.233526054,0.233568748,0.233610478,0.23365128,0.233691188,0.233730231,0.233768437,0.233805832,0.233842446,0.233878307,0.233913432,0.233947852,0.233981593,0.234014668,0.234047106,0.23407893,0.234110157,0.23414081,0.234170911,0.234200472,0.23422951,0.234258047,0.234286089,0.234313648,0.234340742,0.234367382,0.234393575,0.234419334,0.234444669,0.234469593,0.234494116,0.23451825,0.234542003,0.234565388
0.49,0.112810928,0.181119226,0.1973456,0.205150259,0.209939407,0.213208682,0.215628515,0.21750143,0.219004879,0.220243934,0.22128616,0.22217887,0.222955152,0.223637128,0.224241642,0.224782411,0.225270043,0.225712499,0.226116135,0.226486283,0.226827356,0.227142906,0.227435791,0.227708507,0.227963337,0.228202341,0.228427118,0.228638878,0.228838709,0.229027694,0.229206794,0.229376823,0.229538517,0.229692555,0.229839534,0.229979971,0.230114278,0.230242889,0.230366139,0.230484423,0.230598065,0.230707402,0.230812735,0.230914299,0.231012342,0.231107027,0.23119852,0.231286957,0.231372495,0.231455281,0.231535464,0.231613188,0.23168858,0.231761769,0.231832855,0.231901946,0.231969128,0.232034478,0.232098081,0.232160008,0.232220331,0.232279114,0.23233642,0.232392312,0.232446845,0.232500078,0.23255206,0.232602844,0.232652473,0.232700991,0.232748438,0.232794852,0.232840263,0.232884703,0.23292821,0.232970817,0.233012544,0.233053427,0.233093499,0.233132776,0.233171291,0.233209074,0.233246143,0.233282527,0.233318252,0.233353331,0.233387787,0.233421645,0.233454912,0.233487602,0.233519738,0.233551331,0.233582392,0.233612935,0.233642973,0.233672521,0.233701591,0.233730196,0.233758349,0.233786062
0.56,0.033971414,0.164563084,0.187610932,0.197949577,0.204100331,0.208224305,0.211238988,0.213551781,0.215395811,0.216907403,0.218173297,0.219253698,0.220190252,0.22101078,0.221736408,0.2223842,0.222967257,0.223495422,0.223976522,0.224417113,0.22482259,0.225197297,0.22554472,0.2258679,0.226169619,0.22645237,0.226718074,0.226968197,0.227204066,0.22742699,0.227638123,0.227838444,0.228028839,0.228210124,0.228383017,0.228548134,0.22870597,0.228857046,0.229001764,0.229140595,0.229273928,0.229402166,0.229525665,0.229644704,0.229759578,0.229870482,0.229977612,0.230081134,0.230181234,0.230278087,0.23037187,0.230462754,0.23055089,0.23063643,0.230719493,0.230800206,0.230878671,0.230954981,0.231029236,0.231101518,0.231171915,0.231240501,0.231307352,0.231372541,0.231436134,0.2314982,0.231558797,0.231617988,0.231675824,0.231732356,0.231787633,0.231841696,0.231894585,0.231946334,0.231996991,0.232046592,0.232095162,0.232142744,0.232189376,0.232235077,0.232279886,0.232323838,0.232366954,0.232409268,0.232450813,0.232491601,0.23253166,0.232571019,0.232609688,0.232647682,0.232685027,0.232721738,0.232757827,0.232793312,0.232828206,0.232862527,0.23289629,0.232929511,0.232962203,0.232994382
0.63,0.00083542,0.142103477,0.175938857,0.189703971,0.197577305,0.202743029,0.206464344,0.209290395,0.21152642,0.213348314,0.214866634,0.216157347,0.217272359,0.218246321,0.219105443,0.219870729,0.22055816,0.221179762,0.221745059,0.222262011,0.222737132,0.223175664,0.223581803,0.223959207,0.224311222,0.224640823,0.224950289,0.225241365,0.225515654,0.225774715,0.226019912,0.226252408,0.226473257,0.226683424,0.226883755,0.227074982,0.227257686,0.227432484,0.227599852,0.227760346,0.227914424,0.22806256,0.22820517,0.228342583,0.228475141,0.228603073,0.228726613,0.228845955,0.228961316,0.229072906,0.229180928,0.229285584,0.22938705,0.229485503,0.229581081,0.229673934,0.22976418,0.229851928,0.229937294,0.230020375,0.230101273,0.230180073,0.230256866,0.230331735,0.230404758,0.230476016,0.230545575,0.230613508,0.230679874,0.230744735,0.230808144,0.230870152,0.230930804,0.230990141,0.231048216,0.231105073,0.23116074,0.231215268,0.231268699,0.231321057,0.231372387,0.231422729,0.231472107,0.231520562,0.23156813,0.231614826,0.231660683,0.231705733,0.231749988,0.231793466,0.231836197,0.231878198,0.231919483,0.231960072,0.231999982,0.232039234,0.232077843,0.232115829,0.232153206,0.232189994
