X,u (1) @ t=0.01,u (1) @ t=0.02,u (1) @ t=0.03,u (1) @ t=0.04,u (1) @ t=0.05,u (1) @ t=0.06,u (1) @ t=0.07,u (1) @ t=0.08,u (1) @ t=0.09,u (1) @ t=0.1,u (1) @ t=0.11,u (1) @ t=0.12,u (1) @ t=0.13,u (1) @ t=0.14,u (1) @ t=0.15,u (1) @ t=0.16,u (1) @ t=0.17,u (1) @ t=0.18,u (1) @ t=0.19,u (1) @ t=0.2,u (1) @ t=0.21,u (1) @ t=0.22,u (1) @ t=0.23,u (1) @ t=0.24,u (1) @ t=0.25,u (1) @ t=0.26,u (1) @ t=0.27,u (1) @ t=0.28,u (1) @ t=0.29,u (1) @ t=0.3,u (1) @ t=0.31,u (1) @ t=0.32,u (1) @ t=0.33,u (1) @ t=0.34,u (1) @ t=0.35,u (1) @ t=0.36,u (1) @ t=0.37,u (1) @ t=0.38,u (1) @ t=0.39,u (1) @ t=0.4,u (1) @ t=0.41,u (1) @ t=0.42,u (1) @ t=0.43,u (1) @ t=0.44,u (1) @ t=0.45,u (1) @ t=0.46,u (1) @ t=0.47,u (1) @ t=0.48,u (1) @ t=0.49,u (1) @ t=0.5,u (1) @ t=0.51,u (1) @ t=0.52,u (1) @ t=0.53,u (1) @ t=0.54,u (1) @ t=0.55,u (1) @ t=0.56,u (1) @ t=0.57,u (1) @ t=0.58,u (1) @ t=0.59,u (1) @ t=0.6,u (1) @ t=0.61,u (1) @ t=0.62,u (1) @ t=0.63,u (1) @ t=0.64,u (1) @ t=0.65,u (1) @ t=0.66,u (1) @ t=0.67,u (1) @ t=0.68,u (1) @ t=0.69,u (1) @ t=0.7,u (1) @ t=0.71,u (1) @ t=0.72,u (1) @ t=0.73,u (1) @ t=0.74,u (1) @ t=0.75,u (1) @ t=0.76,u (1) @ t=0.77,u (1) @ t=0.78,u (1) @ t=0.79,u (1) @ t=0.8,u (1) @ t=0.81,u (1) @ t=0.82,u (1) @ t=0.83,u (1) @ t=0.84,u (1) @ t=0.85,u (1) @ t=0.86,u (1) @ t=0.87,u (1) @ t=0.88,u (1) @ t=0.89,u (1) @ t=0.9,u (1) @ t=0.91,u (1) @ t=0.92,u (1) @ t=0.93,u (1) @ t=0.94,u (1) @ t=0.95,u (1) @ t=0.96,u (1) @ t=0.97,u (1) @ t=0.98,u (1) @ t=0.99,u (1) @ t=1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.13,0.983130522,0.988174269,0.990383406,0.991700639,0.992569701,0.993197863,0.993717967,0.994141894,0.994487293,0.994772452,0.995011755,0.995223156,0.995414262,0.995585292,0.995739314,0.995876929,0.996002324,0.996115549,0.996219712,0.996314386,0.996401726,0.996482292,0.996557023,0.996626962,0.996693117,0.996757241,0.996818808,0.996877339,0.996932834,0.9969861,0.997036931,0.997085161,0.997130791,0.997174791,0.997216705,0.997256463,0.997294094,0.997330675,0.997365558,0.997398744,0.997430293,0.99746065,0.997489674,0.997517438,0.997544042,0.997569651,0.99759431,0.997618107,0.997641052,0.997663079,0.997684328,0.997704854,0.997724558,0.997743337,0.997761296,0.997778439,0.997794772,0.997810302,0.997825035,0.997838977,0.997852291,0.997864951,0.997876934,0.99788826,0.997898945,0.997909008,0.997918465,0.997927336,0.997935708,0.997943554,0.997950895,0.997957752,0.997964146,0.997970097,0.997975626,0.997980861,0.997986087,0.997990987,0.997995562,0.997999812,0.998003736,0.998007334,0.998010607,0.998013799,0.998017019,0.998020037,0.998022853,0.998025466,0.998027877,0.998030085,0.998032091,0.998033894,0.998035495,0.998037087,0.99803874,0.998040267,0.998041668,0.998042943,0.998044092,0.998045114
0.26,0.96508431,0.975777079,0.980390068,0.983121348,0.984915233,0.986208234,0.987276342,0.988145134,0.988851847,0.989434478,0.989923004,0.990354216,0.990743719,0.991092002,0.991405477,0.99168535,0.991940267,0.992170314,0.992381872,0.992574061,0.9927513,0.992914737,0.993066288,0.993208087,0.9933422,0.993472169,0.993596911,0.993715466,0.993827834,0.993935677,0.994038571,0.994136175,0.994228489,0.994317502,0.994402283,0.994482683,0.994558763,0.994632719,0.99470323,0.994770297,0.994834042,0.994895378,0.994954015,0.995010101,0.995063838,0.99511556,0.995165357,0.995213411,0.995259738,0.995304209,0.995347103,0.995388533,0.995428302,0.995466202,0.995502442,0.995537033,0.995569989,0.995601322,0.995631046,0.995659173,0.995686028,0.995711563,0.995735733,0.995758573,0.99578012,0.995800411,0.995819482,0.995837368,0.995854247,0.995870065,0.995884866,0.99589869,0.99591158,0.995923578,0.995934726,0.995945282,0.995955818,0.995965697,0.995974919,0.995983486,0.995991396,0.995998649,0.996005246,0.996011679,0.996018171,0.996024254,0.996029929,0.996035196,0.996040055,0.996044505,0.996048548,0.996052182,0.996055409,0.996058616,0.996061948,0.996065025,0.996067849,0.996070419,0.996072734,0.996074796
0.39,0.945732399,0.962766851,0.96999761,0.974247772,0.97702629,0.979023348,0.980669209,0.982004923,0.983089616,0.983982573,0.984730689,0.985390528,0.985986048,0.986518067,0.986996637,0.987423579,0.987812294,0.988162879,0.988485172,0.988777811,0.989047593,0.989296279,0.989526802,0.989742444,0.989946377,0.990143962,0.990333538,0.990513658,0.99068432,0.990848088,0.991004312,0.991152462,0.991292541,0.991427606,0.991556226,0.991678173,0.991793539,0.99190568,0.99201258,0.992114238,0.992210841,0.992303789,0.992392639,0.992477616,0.992559028,0.992637376,0.9927128,0.992785578,0.992855736,0.992923072,0.992988016,0.993050736,0.993110937,0.993168303,0.993223151,0.993275501,0.993325372,0.993372784,0.993417758,0.993460314,0.993500942,0.993539568,0.993576126,0.99361067,0.993643258,0.993673942,0.99370278,0.993729827,0.993755348,0.993779265,0.993801642,0.993822543,0.993842032,0.993860174,0.993877031,0.993892994,0.993908923,0.993923859,0.993937802,0.993950752,0.99396271,0.993973675,0.993983647,0.993993371,0.994003184,0.994012379,0.994020958,0.994028919,0.994036263,0.994042991,0.994049101,0.994054594,0.99405947,0.994064317,0.994069352,0.994074004,0.994078272,0.994082156,0.994085656,0.994088772
0.52,0.924923827,0.949097396,0.959181656,0.965064437,0.968891845,0.971634976,0.973890325,0.975716224,0.977196359,0.978413066,0.979431614,0.980329326,0.981138829,0.981861341,0.982510873,0.983089873,0.983616811,0.98409178,0.984528263,0.984924384,0.985289439,0.985625826,0.985937544,0.986229073,0.986504746,0.986771778,0.987027899,0.98727117,0.987501592,0.987722676,0.987933529,0.988133429,0.988322376,0.988504559,0.988678016,0.988842434,0.988997942,0.989149099,0.989293164,0.989430137,0.989560273,0.98968548,0.989805154,0.989919605,0.990029244,0.990134741,0.990236291,0.990334272,0.990428715,0.990519349,0.990606753,0.990691156,0.99077216,0.990849344,0.990923133,0.990993554,0.991060636,0.991124406,0.991184892,0.991242123,0.991296754,0.991348688,0.991397837,0.991444277,0.991488081,0.991529327,0.991568087,0.991604438,0.991638736,0.991670878,0.991700949,0.991729036,0.991755227,0.991779608,0.991802265,0.991823721,0.991845125,0.991865196,0.991883932,0.991901334,0.991917401,0.991932134,0.991945532,0.991958597,0.991971782,0.991984137,0.991995662,0.992006359,0.992016226,0.992025263,0.992033471,0.99204085,0.9920474,0.992053911,0.992060676,0.992066926,0.992072659,0.992077877,0.992082579,0.992086765
0.65,0.902480419,0.934717217,0.947915628,0.95555463,0.960500096,0.964034396,0.966933114,0.969273737,0.971167622,0.972722104,0.974022434,0.975167725,0.976199543,0.977119593,0.977946189,0.97868242,0.979352171,0.979955501,0.980509748,0.981012485,0.981475632,0.981902253,0.982297459,0.982666986,0.983016381,0.983354749,0.98367918,0.983987241,0.984278933,0.984558762,0.984825582,0.985078466,0.985317415,0.985547805,0.98576712,0.985974957,0.98617148,0.9863625,0.986544524,0.986717553,0.98688191,0.987040038,0.987191162,0.987335677,0.987474107,0.987607287,0.987735473,0.987859144,0.987978339,0.988092709,0.988202993,0.988309477,0.988411663,0.988509021,0.988602087,0.988690897,0.988775489,0.988855898,0.988932161,0.989004314,0.98907318,0.98913864,0.989200585,0.98925911,0.98931431,0.989366282,0.98941512,0.98946092,0.989504129,0.98954462,0.989582502,0.989617886,0.98965088,0.989681595,0.989710142,0.989737177,0.989764142,0.989789425,0.989813026,0.989834946,0.989855185,0.989873742,0.989890617,0.989907073,0.989923679,0.989939241,0.989953758,0.989967229,0.989979656,0.989991038,0.990001374,0.990010666,0.990018913,0.990027112,0.990035632,0.990043502,0.990050723,0.990057294,0.990063215,0.990068487
0.78,0.87818913,0.919568637,0.936170518,0.945700277,0.95183839,0.956212366,0.959790635,0.962671888,0.964998725,0.966905646,0.968499653,0.969902715,0.971165571,0.972290504,0.973300515,0.974199344,0.975016663,0.975752473,0.976428183,0.977040775,0.977604928,0.978124399,0.978605459,0.979055164,0.979480329,0.979891984,0.980286545,0.980661086,0.981015606,0.981355652,0.981679813,0.981986949,0.982277059,0.982556776,0.982822995,0.983075219,0.98331365,0.983545401,0.983766196,0.983976036,0.984175318,0.98436704,0.984550251,0.984725437,0.984893233,0.98505464,0.985209982,0.985359841,0.985504263,0.985642818,0.985776406,0.985905377,0.98602913,0.986147023,0.986259708,0.986367229,0.986469633,0.986566965,0.98665927,0.986746594,0.98682993,0.986909135,0.98698408,0.987054882,0.987121656,0.987184519,0.987243589,0.987298982,0.987351237,0.987400202,0.987446012,0.987488799,0.987528699,0.987565845,0.987600372,0.987633072,0.98766568,0.987696253,0.987724792,0.987751298,0.987775769,0.987798206,0.987818609,0.987838505,0.987858584,0.987877399,0.98789495,0.987911237,0.98792626,0.98794002,0.987952516,0.987963747,0.987973715,0.987983625,0.987993926,0.98800344,0.988012169,0.988020113,0.988027271,0.988033643
0.91,0.851783781,0.903586434,0.923914636,0.935481792,0.942893159,0.948159092,0.95245557,0.955904811,0.958684749,0.960959446,0.962859609,0.964531157,0.966034182,0.967371663,0.9685717,0.969638694,0.970608515,0.971481069,0.972282071,0.973007871,0.973676041,0.974291065,0.974860423,0.975392556,0.975895608,0.976382564,0.976849136,0.977291901,0.977710857,0.978112636,0.978495551,0.978858238,0.979200698,0.979530887,0.979845082,0.980142685,0.980423937,0.980697306,0.980957702,0.981205124,0.98144005,0.981666054,0.981882003,0.982088478,0.982286226,0.982476418,0.982659446,0.982836001,0.983006134,0.98316933,0.983326657,0.983478529,0.983624238,0.983763034,0.983895683,0.984022242,0.984142764,0.984257305,0.984365921,0.984468666,0.984566706,0.984659876,0.984748026,0.984831295,0.984909821,0.984983743,0.985053199,0.985118328,0.985179762,0.985237326,0.985291179,0.985341479,0.985388386,0.985432058,0.985472655,0.985511106,0.985549439,0.98558538,0.98561893,0.985650087,0.985678852,0.985705226,0.985729208,0.985752594,0.985776195,0.985798309,0.985818938,0.985838081,0.985855738,0.985871908,0.985886593,0.985899791,0.985911504,0.985923149,0.985935255,0.985946437,0.985956695,0.98596603,0.985974441,0.985981929
1.04,0.822992674,0.886697962,0.911113342,0.924877928,0.933649844,0.939864203,0.944920196,0.948966327,0.95222052,0.954879043,0.957098473,0.959049774,0.960802537,0.962360563,0.963757508,0.964998447,0.966125889,0.967139604,0.968069865,0.968912342,0.969687642,0.970401011,0.971061193,0.97167808,0.972261207,0.972825547,0.973366071,0.973878858,0.974363908,0.974828981,0.975272102,0.975691677,0.976087705,0.976469542,0.976832811,0.977176808,0.977501813,0.977817708,0.978118553,0.978404347,0.978675648,0.978936637,0.97918599,0.979424383,0.979652684,0.979872227,0.980083483,0.980287254,0.980483593,0.980671895,0.980853403,0.981028594,0.981196656,0.981356728,0.981509693,0.981655618,0.981794567,0.981926608,0.982051804,0.982170221,0.982283202,0.982390558,0.982492119,0.982588048,0.982678504,0.982763649,0.982843645,0.982918652,0.982989398,0.983055685,0.983117696,0.983175617,0.983229631,0.983279925,0.983326683,0.983370971,0.983415112,0.983456499,0.98349513,0.983531006,0.983564127,0.983594493,0.983622103,0.983649028,0.983676201,0.983701663,0.983725412,0.983747451,0.983767777,0.983786392,0.983803296,0.983818488,0.983831968,0.983845372,0.983859307,0.983872179,0.983883988,0.983894733,0.983904415,0.983913034
1.17,0.791110521,0.86880769,0.89772869,0.913865587,0.924092821,0.931316726,0.937176368,0.941849927,0.94560059,0.948659745,0.951212232,0.953455149,0.955467676,0.957254592,0.958855617,0.960276503,0.961566879,0.962726333,0.963789963,0.964752706,0.965638357,0.966452958,0.967206575,0.967910618,0.968576085,0.969219962,0.969836442,0.970421109,0.970973963,0.971503937,0.972008759,0.972486592,0.972937437,0.973372128,0.973785595,0.974177024,0.974546738,0.974906087,0.975248247,0.975573219,0.975881644,0.976178337,0.976461771,0.976732727,0.976992193,0.977241668,0.977481705,0.977713221,0.977936272,0.978150154,0.978356292,0.978555229,0.978746047,0.978927773,0.97910141,0.979267035,0.979424725,0.979574555,0.979716604,0.979850947,0.979979105,0.980100869,0.980216048,0.980324827,0.980427391,0.980523925,0.980614614,0.980699643,0.980779833,0.980854965,0.980925249,0.980990897,0.98105212,0.98110913,0.981162138,0.981212351,0.981262382,0.981309291,0.981353075,0.981393736,0.981431274,0.981465688,0.981496978,0.981527491,0.981558286,0.98158714,0.981614053,0.981639026,0.981662059,0.981683152,0.981702304,0.981719516,0.981734787,0.981749973,0.981765763,0.981780347,0.981793727,0.981805901,0.981816871,0.981826636
